,序号,姓名,所属公司,现任基金,累计从业时间,现任基金最佳回报,现任基金资产总规模
584,35,黄钟,泰康资产,"泰康景泰回报混合A,泰康景泰回报混合C,泰康安悦纯债3月定开债券",542,29.75,22.55
585,36,胡振仓,民生加银基金,"民生加银岁岁增利债券A,民生加银岁岁增利债券C,民生加银岁岁增利债券D,民生加银鑫升纯债,民生加银恒益纯债A,民生加银恒益纯债C,民生加银聚鑫三年定开债,民生加银瑞夏一年定开债券发起式,民生瑞盈一年定开债发起式,民生睿智一年定开债,民生加银平稳增利A,民生加银平稳增利C,民生加银丰鑫债券",4341,20.53,213.12
586,37,华志贵,山西证券,"山西裕利定开债,山西证券超短债A,山西证券超短债C,山西证券裕泰3个月定开,山西证券裕丰一年定开债",3555,17.67,39.52
587,38,韩哲昊,德邦基金,"德邦德利货币A,德邦德利货币B,德邦锐兴债券A,德邦锐兴债券C",1975,0.80,71.06
588,39,何智豪,上投摩根基金,"上投摩根优选多因子股票,上投标普港股通低波红利指数A,上投标普港股通低波红利指数C,上投摩根量化多因子混合,上投摩根MSCI中国A股ETF联接A,上投摩根MSCI中国A股ETF联接C,上投摩根中证消费服务指数,上投摩根MSCI中国A股ETF",41,4.07,7.73
589,40,何子建,华泰柏瑞基金,"华泰柏瑞丰盛纯债债券A,华泰柏瑞丰盛纯债债券C,华泰柏瑞锦泰一年定开,华泰柏瑞锦瑞债券A,华泰柏瑞锦瑞债券C,华泰柏瑞锦兴39个月定开债,华泰柏瑞景利混合A,华泰柏瑞景利混合C",731,6.54,73.38
590,41,胡志利,工银瑞信基金,"工银聚焦30股票,工银现代服务业混合,工银科技创新3年封闭混合,工银优质精选混合",2039,126.07,29.02
591,42,胡智磊,国泰基金,"国泰润泰纯债债券,国泰利是宝货币,国泰货币B,国泰丰祺纯债债券,国泰聚禾纯债债券,国泰利享中短债债券A,国泰利享中短债债券C,国泰惠融纯债债券,国泰聚瑞纯债债券,国泰惠鑫一年定期开放债券,国泰惠泰一年定期开放债券,国泰惠瑞一年定开债,国泰聚鑫纯债债券,国泰添福一年定期开放债券,国泰货币A,国泰现金管理货币A,国泰现金管理货币B,国泰瞬利货币ETF",258,2.47,1716.41
592,43,胡志伟,诺德基金,"诺德消费升级混合,诺德品质消费6个月持有混合",2196,25.92,12.26
593,44,黄志翔,国泰基金,"国泰润利纯债债券,国泰润鑫定开债发起式,国泰民安增益纯债A,国泰瑞和纯债债券,国泰民安增益纯债C,国泰嘉睿纯债债券,国泰丰盈纯债债券,国泰聚享纯债债券,国泰裕祥三个月定开债,国泰惠盈纯债债券,国泰惠富纯债债券,国泰瑞安三个月定期开放债券,国泰惠丰纯债债券,国泰兴富三个月定开债,国泰盛合三个月定开债,国泰惠享三个月定开债",1592,19.54,125.10
594,45,胡中原,华商基金,"华商双翼平衡混合,华商瑞丰短债A,华商润丰灵活配置混合A,华商元亨灵活配置混合,华商瑞丰短债C,华商润丰灵活配置混合C,华商鸿畅39个月定开利率债A,华商鸿畅39个月定开利率债C,华商鸿益一年定开债,华商鸿盈87个月定开债,华商现金增利货币A,华商现金增利货币B",730,63.36,117.22
595,46,何之渊,朱雀基金,"朱雀产业臻选混合A,朱雀产业臻选混合C,朱雀产业智选混合A,朱雀产业智选混合C",630,93.47,57.63
596,47,IKEDA KAE,浦银安盛基金,"浦银安盛港股通量化混合,浦银安盛全球智能科技(QDII)",1149,59.02,0.85
597,48,姜诚,中泰证券(上海)资管,"中泰星元灵活配置混合,中泰玉衡价值优选混合,中泰开阳价值优选混合A,中泰兴诚价值一年持有混合A,中泰兴诚价值一年持有混合C,中泰开阳价值优选混合C",1442,101.01,15.93
598,49,焦翠,鹏扬基金,"鹏扬汇利债券A,鹏扬汇利债券C,鹏扬利泽债券A,鹏扬利泽债券C,鹏扬景兴混合A,鹏扬景兴混合C,鹏扬景欣混合A,鹏扬景欣混合C,鹏扬泓利债券A,鹏扬泓利债券C,鹏扬淳享债券A,鹏扬淳享债券C",1098,40.38,185.61
599,50,贾成东,招商基金,"招商行业精选股票基金,招商财经大数据股票A,招商财经大数据股票C,招商研究优选股票A,招商研究优选股票C,招商科技动力3个月股票A,招商科技动力3个月股票C,招商产业精选股票A,招商产业精选股票C,招商优质成长混合(LOF)",2237,234.34,179.84
600,1,季参平,交银施罗德基金,"交银现金宝货币A,交银现金宝货币E,交银天鑫宝货币A,交银天鑫宝货币E,交银裕祥纯债债券A,交银裕祥纯债债券C,交银中债1-3年政金债指数A,交银中债1-3年政金债指数C,交银货币A,交银货币B,交银裕通纯债债券A,交银裕通纯债债券C",601,4.31,468.06
601,2,季峰,广发基金,"广发百发100指数A,广发百发100指数E,广发百发大数据成长混合A,广发百发大数据成长混合E",2340,80.52,6.51
602,3,姜锋,建信基金,"建信健康民生混合,建信环保产业股票,建信优势动力混合(LOF),建信科技创新3年封闭混合",3537,403.70,25.23
603,4,江峰,中信保诚基金,信诚多策略灵活配置混合,338,18.41,0.91
604,5,金昉毅,光大保德信基金,"光大风格轮动混合A,光大产业新动力混合,光大创业板量化优选A,光大创业板量化优选C,光大风格轮动混合C,光大锦弘混合A,光大锦弘混合C,光大量化股票,光大优势配置混合",1934,63.68,61.82
605,6,景辉,诺德基金,"诺德短债债券A,诺德短债债券C,诺德安盈纯债,诺德安瑞39个月定开,诺德安鸿纯债,诺德安盛纯债,诺德增强收益债券",1000,10.26,53.21
606,7,姜华,建信基金,"建信福泽安泰混合(FOF),建信福泽裕泰混合(FOF)A,建信福泽裕泰混合(FOF)C,建信智汇优选一年持有期混合(MOM)",798,33.40,29.13
607,8,蒋华安,工银瑞信基金,"工银养老2035(FOF),工银养老2040(FOF),工银养老2045三年持有混合(FOF),工银稳健养老目标一年持有混合发起(FOF)",869,47.91,11.32
608,9,季慧娟,嘉合基金,"嘉合货币A,嘉合货币B,嘉合磐稳纯债A,嘉合磐稳纯债C,嘉合稳健增长混合A,嘉合稳健增长混合C,嘉合磐昇纯债A,嘉合磐昇纯债C,嘉合锦鹏添利混合A,嘉合锦鹏添利混合C,嘉合慧康63个月定开债券A,嘉合慧康63个月定开债券C,嘉合中债-1-3年政金债指数A,嘉合中债-1-3年政金债指数C",2080,24.73,157.73
609,10,金宏伟,泰康资产,"泰康新机遇混合,泰康恒泰回报混合A,泰康恒泰回报混合C,泰康颐享混合A,泰康颐享混合C,泰康科技创新一年定开混合",1298,68.78,62.61
610,11,经惠云,泰康资产,"泰康年年红纯债一年债券,泰康安和纯债6个月定开债券,泰康信用精选债券A,泰康信用精选债券C,泰康润颐63个月定开债券,泰康润和两年定开债券,泰康瑞丰3月定开债券,泰康长江经济带债券A,泰康长江经济带债券C",1945,22.62,165.46
611,12,JINYA,广发基金,广发稳健养老(FOF),77,0.15,3.73
612,13,江俊晨,恒生前海基金,恒生前海港股通精选混合,156,12.00,1.15
613,14,纪君凯,海富通基金,"海富通量化前锋股票C,海富通量化前锋股票A,海富通中证500增强C,海富通上证周期ETF,海富通上证非周期ETF,海富通中证500增强A",286,29.89,3.37
614,15,蒋佳良,浦银安盛基金,"浦银安盛价值精选混合A,浦银安盛价值精选混合C,浦银安盛新经济结构混合",1376,196.14,18.15
615,16,蒋俊阳,华宝基金,"华宝中证电子50ETF,华宝中证细分食品饮料主题ETF,华宝中证沪港深500ETF",244,0.00,35.52
616,17,蒋科,广发基金,广发趋势动力混合,322,53.21,0.34
617,18,江科宏,景顺长城基金,"景顺长城优势企业混合,景顺长城品质长青混合,景顺长城精选蓝筹混合",3201,64.47,78.49
618,19,季侃乐,兴证全球基金,兴全有机增长混合,2306,110.05,33.90
619,20,蒋磊,银河基金,"银河睿达灵活配置混合A,银河睿达灵活配置混合C,银河嘉谊灵活配置混合A,银河嘉谊灵活配置混合C,银河睿嘉债券A,银河睿丰定开债券,银河睿嘉债券C,银河家盈债券,银河聚星两年定开债券,银河旺利混合A,银河旺利混合C,银河旺利混合I,银河君怡债券,银河君辉3个月定开债,银河鸿利混合A,银河鸿利混合C,银河鸿利混合I,银河增利债券A,银河增利债券C,银河银信添利债券B,银河银信添利债券A,银河领先债券",1665,144.79,152.93
620,21,吉莉,国投瑞银基金,"国投瑞银策略精选混合,国投瑞银核心企业混合",1380,85.96,17.58
621,22,江凌,永赢基金,"永赢惠益债券A,永赢惠益债券C,永赢盈益债券A,永赢盈益债券C,永赢通益债券A,永赢通益债券C,永赢昌益债券A,永赢昌益债券C,永赢中债1-3年政金债指数,永赢泰利债券A,永赢泰利债券C,永赢众利债券,永赢卓利债券",477,6.17,218.93
622,23,蒋利娟,泰康资产,"泰康薪意保货币A,泰康薪意保货币B,泰康稳健增利债券A,泰康稳健增利债券C,泰康薪意保货币E,泰康宏泰回报混合,泰康金泰3月定开混合,泰康兴泰回报沪港深混合,泰康颐年混合A,泰康颐年混合C,泰康颐享混合A,泰康颐享混合C,泰康招泰尊享一年持有期混合A,泰康招泰尊享一年持有期混合C,泰康合润混合A,泰康合润混合C",2099,52.43,189.70
623,24,贾丽杰,金元顺安基金,"金元顺安沣楹债券,金元顺安成长动力混合,金元顺安价值增长混合",1088,33.43,20.16
624,25,蒋丽丝,兴业基金,"兴业消费精选混合A,兴业消费精选混合C",92,-6.32,4.68
625,26,江刘玮,中邮基金,"中邮睿信增强债,中邮景泰灵活配置混合A,中邮景泰灵活配置混合C",13,-0.49,32.77
626,27,纪玲云,易方达基金,"易方达信用债债券A,易方达信用债债券C,易方达瑞财混合I,易方达瑞财混合E,易方达恒利定期开放债券,易方达恒盛3个月定开混合,易方达恒裕一年定开债,易方达战略配售(LOF)",2742,46.07,369.74
627,28,金凌志,南方基金,"南方纯元A,南方纯元C,南方卓利3个月定开债A,南方卓利3个月定开债C,南方惠利6个月定开债A,南方惠利6个月定开债C,南方贺元利率债债券A,南方贺元利率债债券C,南方创利3个月定开债,南方集利18个月定开债券A,南方集利18个月定开债券C,南方昭元债券A,南方昭元债券C,南方升元中短期利率债A,南方升元中短期利率债C,南方润元纯债债券A/B,南方润元纯债债券C",1329,15.82,217.37
628,29,金猛,嘉实基金,"嘉实绝对收益策略定期混合,嘉实对冲套利定期混合,嘉实中小企业量化活力混合,嘉实央企创新驱动ETF联接A,嘉实央企创新驱动ETF联接C,嘉实新兴科技100ETF联接A,嘉实新兴科技100ETF联接C,嘉实医药健康100ETF联接A,嘉实医药健康100ETF联接C,嘉实量化阿尔法混合,嘉实中证央企创新驱动ETF,嘉实新兴科技100ETF,嘉实先进制造100ETF,嘉实医药健康100ETF",910,87.17,53.46
629,30,蒋娜,博时基金,"博时文体娱乐主题混合,博时研究精选持有期混合A,博时研究精选持有期混合C,博时女性消费主题混合A,博时女性消费主题混合C,博时价值增长贰号混合",1631,93.90,59.84
630,31,贾鹏,银华基金,"银华多元视野灵活配置混合,银华远景债券,银华多元动力灵活配置混合,银华多元收益定开混合A,银华多元收益定开混合C,银华多元机遇混合,银华远兴一年持有期债券,银华增强收益债券,银华信用双利债券A,银华信用双利债券C,银华永祥灵活配置混合",2395,175.50,199.21
631,32,静鹏,江信基金,"江信聚福定开债,江信祺福A,江信祺福C",1695,27.30,3.99
632,33,蒋璆,华安基金,"华安新乐享混合,华安安益灵活配置混合,华安制造先锋混合,华安鼎利混合,华安成长先锋混合A,华安成长先锋混合C,华安动态灵活配置混合,华安创业板两年定开混合",2102,131.91,58.31
633,34,纪青,富安达基金,"富安达健康人生混合,富安达中证500指数增强",1553,109.29,1.44
634,35,蒋茜,东方基金,"东方创新科技混合,东方主题精选混合",1331,195.47,8.74
635,36,蒋秋洁,南方基金,"南方产业活力,南方产业优势两年混合A,南方瑞盛三年混合A,南方瑞盛三年混合C,南方产业优势两年混合C,南方天元新产业股票(LOF),南方隆元产业主题混合",2282,88.66,112.34
636,37,贾仁栋,招商基金,"招商丰利灵活配置混合A,招商丰利灵活配置混合C,招商睿祥定开混合",1653,85.75,1.56
637,38,荆树光,中信建投,"中信建投价值增长A,中信建投价值增长C",101,3.16,1.17
638,39,金晟哲,博时基金,"博时鑫泽灵活配置混合A,博时鑫泽灵活配置混合C,博时荣泰混合,博时价值增长混合,博时主题行业混合(LOF),博时睿利事件驱动(LOF)",1606,115.83,146.21
639,40,鞠婷,上投摩根基金,"上投摩根天添宝货币A,上投摩根天添宝货币B,上投摩根天添盈货币A,上投摩根天添盈货币B,上投摩根天添盈货币E,上投摩根货币A,上投摩根货币B",2079,14.23,923.38
640,41,金拓,中融基金,中融核心成长,1360,109.76,1.29
641,42,贾腾,浙商基金,"浙商全景消费混合,浙商丰利增强债券,浙商中华预期高股息A,浙商中华预期高股息C,浙商沪港深精选混合A,浙商沪港深精选混合C,浙商智选价值混合A,浙商智选价值混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮产业成长混合",756,91.47,23.81
642,43,焦巍,银华基金,"银华国企改革混合发起式,银华富利精选混合,银华富裕主题混合",2036,178.14,269.42
643,44,计伟,中银证券,"中银证券祥瑞混合A,中银证券祥瑞混合C,中银证券创业板ETF",1091,0.44,0.60
644,45,季文华,兴证全球基金,"兴全合丰三年持有混合,兴全社会责任混合",1710,66.94,158.58
645,46,纪文静,东方红资产管理,"东方红领先精选混合,东方红稳健精选混合A,东方红稳健精选混合C,东方红睿逸定期开放混合,东方红收益增强债券A,东方红收益增强债券C,东方红6个月定开债,东方红信用债债券A,东方红信用债债券C,东方红稳添利纯债,东方红价值精选混合A,东方红价值精选混合C,东方红战略精选混合A,东方红战略精选混合C,东方红益鑫纯债A,东方红益鑫纯债C,东方红智逸沪港深定开混合",2074,86.93,241.54
646,47,季伟杰,兴证全球基金,"兴全兴泰定期开放债券,兴全恒瑞定开债券发起式,兴全恒祥88个月定开债券",632,6.86,150.66
647,48,江文军,淳厚基金,"淳厚稳惠债券A,淳厚稳惠债券C,淳厚稳鑫债券A,淳厚稳鑫债券C,淳厚中短债债券A,淳厚中短债债券C,淳厚稳嘉债券A,淳厚稳嘉债券C,淳厚安裕87个月定开债,淳厚安心87个月定开债",189,1.94,178.69
648,49,蒋文玲,汇添富基金,"汇添富现金宝货币A,汇添富短债债券A,汇添富短债债券C,汇添富丰润中短债,汇添富丰利短债债券A,汇添富90天短债A,汇添富90天短债B,汇添富90天短债C,汇添富汇鑫货币A,汇添富汇鑫货币B,汇添富现金宝货币B,汇添富现金宝货币C,汇添富丰利短债债券C,汇添富短债债券E,汇添富利率债",2603,20.58,850.91
649,50,蒋雯文,中欧基金,"中欧睿达定期开放混合A,中欧琪和灵活配置混合A,中欧琪和灵活配置混合C,中欧双利债券A,中欧双利债券C,中欧康裕混合A,中欧康裕混合C,中欧瑾泰债券A,中欧瑾泰债券C,中欧安财定开债发起式,中欧睿达定期开放混合C,中欧达益稳健一年混合A,中欧达益稳健一年混合C",1143,23.41,232.15
650,1,蒋鑫,鹏华基金,"鹏华健康环保混合,鹏华优选成长混合A,鹏华优选成长混合C,鹏华致远成长混合A,鹏华致远成长混合C,鹏华普天收益混合",1728,138.64,69.92
651,2,景晓达,工银瑞信基金,"工银添颐债券B,工银添颐债券A",877,20.81,6.79
652,3,金笑非,鹏华基金,"鹏华医药科技,鹏华科创3年封闭混合",1728,135.11,33.14
653,4,金兴健,华润元大基金,"华润元大稳健债券A,华润元大稳健债券C,华润元大润鑫债券A,华润元大双鑫债券A,华润元大双鑫债券C,华润元大润泽债券A,华润元大润泽债券C,华润元大润鑫债券C,华润元大润禧39个月定开债A,华润元大润禧39个月定开债C",23,0.18,86.33
654,5,蒋秀蕾,融通基金,"融通医疗保健行业混合C,融通新蓝筹混合,融通医疗保健行业混合A/B",2611,165.64,43.37
655,6,姜晓丽,天弘基金,"天弘通利混合,天弘永利债券E,天弘荣享定开债,天弘增强回报债券A,天弘增强回报债券C,天弘华享三个月定开债,天弘信益债券A,天弘信益债券C,天弘安康颐养混合C,天弘永利债券C,天弘增强回报债券E,天弘安康颐和混合A,天弘安康颐和混合C,天弘永利债券A,天弘安康颐养混合A,天弘永利债券B",3149,89.86,122.80
656,7,靳晓龙,北信瑞丰,"北信瑞丰稳定收益A,北信瑞丰稳定收益C,北信瑞丰鼎盛中短债A,北信瑞丰鼎盛中短债C",7,0.09,4.91
657,8,敬夏玺,前海联合,"前海联合添鑫3个月开债A,前海联合添鑫3个月开债C,前海联合泓元定开债券,前海联合泓瑞定开债券,前海联合泳益纯债A,前海联合泳益纯债C,前海联合淳丰87个月定开债A,前海联合淳丰87个月定开债C,前海联合淳安3年定开债券,前海联合泓旭定开债券,前海联合泳嘉纯债A,前海联合泳嘉纯债C",1673,24.49,274.65
658,9,季新星,华夏基金,"华夏行业龙头混合,华夏内需驱动混合A,华夏内需驱动混合C",1390,15.08,64.67
659,10,金耀,民生加银基金,"民生加银研究精选混合,民生加银积极成长混合发起式",1179,138.22,5.09
660,11,江勇,海富通基金,"海富通中证长三角领先ETF联接,海富通中证100指数(LOF)C,海富通策略收益债券A,海富通策略收益债券C,海富通欣睿混合A,海富通欣睿混合C,海富通中证100指数(LOF)A,海富通上证周期ETF,海富通上证非周期ETF,海富通中证长三角领先ETF,海富通上证周期ETF联接,海富通稳固收益债券,海富通上证非周期ETF联接",982,78.57,13.71
661,12,姜英,国泰基金,国泰金牛创新成长混合,90,-0.30,20.76
662,13,江映德,建信基金,建信裕利灵活配置混合,45,-8.58,1.01
663,14,姜永明,财通资管,"财通资管价值成长混合,财通资管价值发现混合,财通科技创新一年定开混合,财通资管均衡价值一年持有期混合,财通资管价值精选一年持有混合A,财通资管价值精选一年持有混合C,财通资管宸瑞一年持有混合A,财通资管宸瑞一年持有混合C",700,121.41,74.42
664,15,蒋一茜,嘉实基金,"嘉实互融精选股票,嘉实海外中国股票混合,嘉实原油(QDII-LOF)",1972,83.94,53.98
665,16,金梓才,财通基金,"财通成长优选混合,财通集成电路产业股票A,财通集成电路产业股票C,财通科技创新混合A,财通科技创新混合C,财通智慧成长混合A,财通智慧成长混合C,财通多策略福鑫定开混合,财通科创主题3年封闭混合,财通价值动量混合",2311,294.81,80.70
666,17,金之洁,蜂巢基金,"蜂巢添汇纯债A,蜂巢添汇纯债C,蜂巢添跃66个月定开债,蜂巢丰鑫一年定开,蜂巢添益纯债A,蜂巢添益纯债C,蜂巢丰业一年定开债发起式,蜂巢添元纯债A,蜂巢添元纯债C,蜂巢添禧87个月定开",323,2.24,194.21
667,18,孔典熠,方正证券,"方正证券金立方一年持有期混合A,方正证券金立方一年持有期混合C,方正证券金港湾六个月持有债券A,方正证券金港湾六个月持有债券C",148,2.58,25.50
668,19,康芳华,圆信永丰基金,"圆信永丰兴利A,圆信永丰兴利C,圆信永丰兴融A,圆信永丰兴融C,圆信永丰兴瑞定开债",99,1.21,37.64
669,20,柯海东,中融基金,"中融竞争优势,中融高股息混合A,中融高股息混合C,中融策略优选混合A,中融策略优选混合C,中融品牌优选混合A,中融品牌优选混合C,中融价值成长6个月持有混合A,中融价值成长6个月持有混合C,中融鑫锐精选一年持有混合A,中融鑫锐精选一年持有混合C",1763,163.01,39.06
670,21,康晶,招商基金,"招商招祥纯债A,招商招祥纯债C,招商添利6个月定开债发起式A,招商添利6个月定开债发起式C,招商添荣3个月定开债A,招商添荣3个月定开债C,招商添泽纯债A,招商添泽纯债C,招商添韵3个月定开债A,招商添韵3个月定开债C,招商招和39个月定开债,招商招阳纯债A,招商招阳纯债C,招商安泰债券A,招商安泰债券B",2052,23.47,276.14
671,22,阚磊,国寿安保基金,"国寿安保尊荣中短债债券A,国寿安保尊荣中短债债券C,国寿安保尊耀纯债A,国寿安保尊耀纯债C,国寿安保安泽39个月定开债,国寿安保泰安纯债债券,国寿安保稳悦混合A,国寿安保稳悦混合C,国寿安保稳弘混合A,国寿安保稳弘混合C",758,6.66,196.03
672,23,孔令兵,工银瑞信基金,"工银沪港深精选混合A,工银沪港深精选混合C,工银红利优享混合A,工银红利优享混合C,工银全球股票(QDII)",101,15.65,14.86
673,24,孔令超,东方红资产管理,"东方红稳健精选混合A,东方红稳健精选混合C,东方红睿逸定期开放混合,东方红策略精选混合A,东方红策略精选混合C,东方红汇利债券A,东方红汇利债券C,东方红汇阳债券A,东方红汇阳债券C,东方红汇阳债券Z,东方红配置精选混合A,东方红配置精选混合C,东方红聚利债券A,东方红聚利债券C,东方红品质优选定开混合,东方红创新优选定开混合,东方红目标优选定开混合",1686,40.53,199.83
674,25,孔帅,融通基金,融通动态平衡配置混合(FOF),233,--,--
675,26,孔涛,华安基金,华安幸福生活混合,66,-5.28,12.39
676,27,匡伟,兴证资管,"兴证资管金麒麟领先优势一年持有混合A,兴证资管金麒麟领先优势一年持有混合C",339,56.23,13.04
677,28,寇文红,中融基金,中融新机遇混合,668,23.97,0.48
678,29,孔学兵,金信基金,"金信行业优选混合发起式,金信深圳成长混合发起式,金信稳健策略灵活配置混合",2721,8.07,1.23
679,30,孔祥鹏,金元顺安基金,金元顺安宝石动力混合,645,4.10,0.90
680,31,孔晓语,兴银基金,"兴银丰盈灵活配置,兴银先锋成长混合A,兴银先锋成长混合C",1030,57.92,1.40
681,32,孔宪政,蜂巢基金,"蜂巢卓睿灵活配置混合A,蜂巢卓睿灵活配置混合C,蜂巢恒利债券A,蜂巢恒利债券C",111,2.70,5.61
682,33,康钊,华安基金,"华安安盛3个月定开债,华安安业债券A,华安安业债券C,华安安和债券A,华安安和债券C",10,0.19,59.46
683,34,李昂,东海基金,"东海科技动力A,东海科技动力C",73,-6.19,0.41
684,35,罗安安,南方基金,"南方国策动力,南方新兴混合,南方人工智能混合,南方优选价值混合C,南方核心成长混合A,南方核心成长混合C,南方创新精选一年定开混合A,南方创新精选一年定开混合C,南方创新成长混合A,南方创新成长混合C,南方优选价值混合A",2078,128.11,153.58
685,36,刘安坤,融通基金,"融通逆向策略灵活配置混合A,融通研究优选混合,融通逆向策略灵活配置混合C",671,74.37,9.92
686,37,刘爱民,浙商基金,"浙商日添利A,浙商日添利B,浙商惠盈纯债A,浙商惠南纯债债券,浙商日添金货币A,浙商日添金货币B,浙商丰顺纯债债券,浙商惠泉3个月定开债A,浙商惠泉3个月定开债C,浙商惠睿纯债债券,浙商丰裕纯债债券A,浙商丰裕纯债债券C,浙商中短债债券A,浙商中短债债券C,浙商惠盈纯债C,浙商惠民纯债C,浙商中债1-5年政策性金融债A,浙商中债1-5年政策性金融债C,浙商惠隆39个月定开债券,浙商惠民纯债A",1158,14.80,165.98
687,38,腊博,兴业基金,"兴业定开债A,兴业聚盈灵活配置混合,兴业聚鑫灵活配置混合A,兴业定开债C,兴业裕恒债券,兴业6个月定开债券,兴业龙腾双益平衡混合,兴业聚鑫灵活配置混合C,兴业稳健双利一年持有期债券A,兴业稳健双利一年持有期债券C,兴业聚申一年持有期混合A,兴业聚申一年持有期混合C",2602,69.75,133.03
688,39,刘斌,国联安基金,"国联安远见成长混合,国联安智能制造混合,国联安新蓝筹红利一年定开混合,国联安稳健混合,国联安优势混合",2655,260.75,20.25
689,40,刘斌,嘉实基金,"嘉实腾讯自选股大数据策略股票,嘉实润和量化定期混合,嘉实润泽量化定期混合",3939,63.10,4.28
690,41,李博,上投摩根基金,"上投摩根核心成长股票,上投摩根核心精选,上投摩根双息平衡混合A,上投摩根阿尔法混合",2269,156.16,44.09
691,42,罗博,银河基金,"银河量化稳进混合,银河嘉谊灵活配置混合A,银河嘉谊灵活配置混合C,银河君尚混合A,银河君尚混合C,银河君尚混合I,银河沪深300价值指数,银河定投宝腾讯济安指数",4098,142.60,33.82
692,43,李博,大成基金,"大成互联网思维混合,大成国企改革灵活配置混合,大成企业能力驱动混合A,大成企业能力驱动混合C,大成精选增值混合,大成内需增长混合A,大成科创主题3年封闭混合",2158,104.48,123.13
693,44,刘波,国泰基金,"国泰招惠收益定期开放债券,国泰可转债债券,国泰信用互利债券C,国泰金龙债券A,国泰金龙债券C,国泰信用互利债券A",2606,3.38,8.53
694,45,刘博,富国基金,"富国新动力灵活配置混合A,富国新动力灵活配置混合C,富国周期优势混合A,富国均衡策略混合,富国周期优势混合C",982,175.97,172.76
695,46,陆奔,华安基金,"华安新优选灵活配置混合A,华安新优选灵活配置混合C,华安安康灵活配置混合A,华安安康灵活配置混合C,华安睿明两年定开混合A,华安睿明两年定开混合C,华安添瑞6个月混合A,华安添瑞6个月混合C,华安添福18个月混合A,华安添福18个月混合C,华安添利6个月债券A,华安添利6个月债券C",905,59.13,189.18
696,47,刘彬,新华基金,"新华鑫动力灵活配置混合A,新华鑫动力灵活配置混合C,新华科技创新主题灵活配置混合,新华鑫泰灵活配置混合,新华安享多裕定开混合,新华行业周期轮换混合",751,110.91,22.44
697,48,陆彬,汇丰晋信基金,"汇丰晋信智造先锋股票A,汇丰晋信智造先锋股票C,汇丰晋信动态策略混合A,汇丰晋信低碳先锋股票",670,222.88,137.16
698,49,郦彬,华富基金,华富量子生命力混合,647,61.16,0.19
699,50,李彪,鑫元基金,"鑫元欣享灵活配置混合A,鑫元欣享灵活配置混合C",646,35.41,1.03
700,1,李彪,汇添富基金,"汇添富养老2040五年持有混合(FOF),汇添富养老2050混合(FOF)",233,7.09,8.51
701,2,李邦长,华安基金,"华安汇财通货币,华安现金宝货币A,华安现金宝货币B,华安鼎丰债券,华安鼎瑞定开债发起式,华安现金润利,华安现金富利货币A,华安日日鑫货币A,华安日日鑫货币B,华安现金富利货币B,华安日日鑫货币H",1842,24.08,1995.60
702,3,林柏川,九泰基金,"九泰动态策略混合A,九泰动态策略混合C,九泰锐诚混合(LOF)",1533,70.11,1.88
703,4,林博程,申万菱信基金,"申万菱信行业轮动股票,申万菱信新经济混合",1100,69.81,11.97
704,5,李博涵,建信基金,"建信富时100指数(QDII)人民币C,建信富时100指数(QDII)美元现汇A,建信富时100指数(QDII)美元现汇C,建信港股通恒生中国ETF,建信全球机遇混合(QDII),建信新兴市场混合(QDII),建信富时100指数(QDII)人民币A",2782,13.58,1.62
705,6,林博鸿,博时基金,"博时创业成长混合C,博时创业成长混合A",48,-0.32,3.05
706,7,李博良,华泰证券(上海),"华泰紫金零钱宝货币,华泰紫金智惠定开债券A,华泰紫金智惠定开债券C,华泰紫金智盈债券A,华泰紫金智盈债券C,华泰紫金季季享定开债A,华泰紫金季季享定开债C,华泰紫金丰泰纯债发起A,华泰紫金丰泰纯债发起C,华泰紫金周周购3月滚动债A,华泰紫金周周购3月滚动债C,华泰紫金智鑫3月定开债",1302,17.47,83.67
707,8,鲁炳良,南方基金,"南方养老2035(FOF)A,南方养老2035(FOF)C,南方养老2030三年(FOF),南方养老2040三年持有混合(FOF)",818,53.07,12.90
708,9,李兵伟,东兴证券,"东兴量化多策略混合,东兴量化优享混合,东兴中证消费50A,东兴中证消费50C,东兴兴晟混合A,东兴兴晟混合C",1739,53.36,4.06
709,10,鲁邦旺,博时基金,"博时岁岁增利一年定开债,博时天天增利货币A,博时天天增利货币B,博时外服货币,博时合利货币B,博时合鑫货币,博时兴盛货币B,博时兴荣货币B,博时合晶货币,博时合利货币A,博时兴荣货币A,博时兴盛货币A,博时保证金货币ETF",1554,18.78,335.36
710,11,李炳智,前海开源基金,"前海开源嘉鑫混合A,前海开源嘉鑫混合C,前海开源鼎瑞债券A,前海开源鼎瑞债券C,前海开源瑞和债券A,前海开源瑞和债券C,前海开源弘泽债券发起式A,前海开源弘泽债券发起式C,前海开源鼎康债券A,前海开源鼎康债券C,前海开源3-5年国开债A,前海开源3-5年国开债C,前海开源1-3年国开债A,前海开源1-3年国开债C,前海开源惠泽两年定开债券,前海开源惠盈39个月定开债券",1513,42.10,107.98
711,12,栾超,新华基金,"新华鑫益灵活配置混合,新华景气行业混合A,新华景气行业混合C,新华优选成长混合,新华泛资源优势混合,新华趋势领航混合",1838,156.58,40.18
